kategori,judul,deskripsi,penulis,tanggal
SUPPLY CHAINS AND TRANSPORTATION,Here's how we make the $9 trillion global food supply chain sustainable,"The $9.14 trillion global food supply chain is key to our survival, but it brings climate issues. Here's how we make this vast supply chain sustainable.",Adegboyega Oyedijo and Temidayo Akenroye,"August 7, 2024"
CLIMATE ACTION,Global Methane Pledge: which countries are cutting emissions?,The Global Methane Pledge aims to collectively reduce global methane emissions by at least 30% from 2020 levels by 2030. What progress has been made so far?,Antoine Rostand,"August 7, 2024"
NATURE AND BIODIVERSITY,8 powerful images from the Mangrove Photography Awards 2024,A series of images that reveal the plight and protection of coastal communities that rely upon mangrove ecosystems for survival.,Tom Crowfoot,"August 7, 2024"
CLIMATE ACTION,"Paris Olympic temperatures 'virtually impossible' without global warming, and other nature and climate stories you need to read this week",Top nature and climate news: EU wind and solar energy on the rise; Methane emissions accelerating; The drought taking one animal breed to extinction.,Tom Crowfoot,"August 6, 2024"
CLIMATE ACTION,5 steps to build climate resilience into the airports of tomorrow,"Airports are increasingly vulnerable to extreme weather events, like the 2024 floods witnesseed in Dubai. The sector must prioritize climate resilience.",Andrew Caughey,"August 6, 2024"
JOBS AND THE FUTURE OF WORK,This research aims to map the skills and jobs of the energy revolution,The energy transition also heralds a jobs transition. Research has identified the skills and abilities needed to thrive in this rapidly growing economy.,Marcello José Pio,"August 6, 2024"
GEOGRAPHIES IN DEPTH,Year of elections: Lessons from India's fight against AI-generated misinformation,"In India, the Deepfakes Analysis Unit is tackling the spread of misinformation via deepfakes. What can the rest of the world learn from their example?",Pamposh Raina,"August 6, 2024"
FINANCIAL AND MONETARY SYSTEMS,6 trends shaping financial advice in the fintech era,"Technology, demographic and industry shifts are transforming financial advice, focusing on financial well-being, inclusion and hyper-personalized services.",Andrea Willige,"August 6, 2024"
EMERGING TECHNOLOGIES,Metaverse interoperability is essential. How will regulation play a part?,Interoperability will shape the metaverse – but a balance must be struck between ensuring a frictionless experience and respecting other user priorities.,Adrian Kuenzler and Dylan Reim,"August 6, 2024"
FINANCIAL AND MONETARY SYSTEMS,Access to credit: The silent issue hampering growth and development in emerging economies,"Across much of the developing world, businesses and individuals are all but cut off from traditional lines of credit. Here's how fintech companies are stepping in to expand credit access, aid development and growth and improve people's lives.",Omair Ansari and Manahil Javaid,"August 6, 2024"
HEALTH AND HEALTHCARE SYSTEMS,How AI can aid safer births in resource-limited environments,"The Safe Delivery App with AI-powered smart bot helps midwives deliver safer births in low-resource areas with reliable, instant guidance on complications.",Anna Cecilia Frellsen and Tuomas Nyman,"August 6, 2024"
CLIMATE ACTION,Why local action is crucial to addressing global climate change,"See why local engagement to combat climate change is crucial and possible with persistence, patience and passion. Once started it triggers a ripple effect.",Hannah Ballard and Theodor Bratosin,"August 5, 2024"
SUSTAINABLE DEVELOPMENT,How public-private partnerships can drive innovations in water efficiency and sustainability,"Public-private partnerships are key to water security. Companies like AWS innovate in water efficiency, reuse and community collaboration for sustainability.",Kara Hurst and Gim Huay Neo,"August 5, 2024"
CLIMATE ACTION,Income protection and early warning systems: How India is building climate resilience,India's agricultural industry is a major economic contributor. Insurers and policy-makers are creating adaptation projects to build its climate resilience.,Tapan Singhel and Daniel Murphy,"August 5, 2024"
FINANCIAL AND MONETARY SYSTEMS,"Bank of England cuts rates while Fed holds steady, and other economics stories to read","Top economy stories: Bank of England cuts rates, Fed holds steady; Eurozone economy grows; Bank of Japan increases rates.",Joe Myers,"August 5, 2024"
FINANCIAL AND MONETARY SYSTEMS,Geopolitics replaces inflation as the top worry for central banks and sovereign wealth funds,"In the face of rising conflict and geopolitical risks, central banks and sovereign funds are shifting some focus from inflation to political instability.",Simon Torkington,"August 5, 2024"
HEALTH AND HEALTHCARE SYSTEMS,Investing in oral health: Here’s why the time is now,"Oral health is at risk for 3.5 billion people. There is a critical need for increased investment from public and private sectors to improve oral health and address affordability, accessibility and advancement.","Allison Neale, Dr. Maria Ryan, Marko Vujicic and Shyam Bishen","August 5, 2024"
HEALTH AND HEALTHCARE SYSTEMS,Health spending takes up 10% of the global economy: How can tech help reduce costs and improve lives?,"The rising costs of healthcare are putting immense strain on providers, patients, governments and insurers. Digital tech can help lift the burden",Elena Sterlin,"August 5, 2024"
EDUCATION AND SKILLS,India's universities lead in sustainable development: What's driving their success?,India has become the world’s number one best-represented nation in the 2024 edition of the Times Higher Education global Impact Rankings. What's changed?,Phil Baty,"August 5, 2024"
CLIMATE ACTION,A third of India's economy relies on nature: here’s why corporates need to invest more in natural climate solutions,"India's economy is at risk from the climate crisis, with major impacts on nature-dependent sectors. Corporates must invest more in natural climate solutions.",Andrea Willige,"August 5, 2024"
N/A,Is globalization dying? An economic historian weighs up the evidence,"Commentators have forecast the imminent collapse of globalization for decades. Despite this, globalization has survived and adapted - an expert explains how.",Stéphanie Thomson,"August 2, 2024"
N/A,"Sun, sensors and silicon: How AI is revolutionizing solar farms","As AI is deployed across the global economy, so too is its environmental footprint growing — but integrating AI into solar farms could offer a solution.",Luiz Avelar and Guy Borthwick,"August 2, 2024"
HEALTH AND HEALTHCARE SYSTEMS,Why is there such a huge treatment gap for neurological conditions like Alzheimer’s – and what can be done to close it?,We have medicines for neurological conditions like epilepsy and Parkinson’s – yet for many people they are out of reach. Here’s how we can change that.,Shyam Bishen,"July 31, 2024"
GLOBAL RISKS,How anticipatory governance can help us with unpredictability,"In a world disrupted by unpredictability, here's how following the AAA Framework of 'antifragile, anticipatory and agility' can help make us future-savvy.",Roger Spitz,"July 31, 2024"
HEALTH AND HEALTHCARE SYSTEMS,"733 million faced hunger last year, and other health stories to read",Top health news: 733 million faced hunger in 2023; warning over avian flu in Asia-Pacific; 'supermodel granny' mice offer potential hope for anti-ageing drug.,Shyam Bishen,"July 31, 2024"
EMERGING TECHNOLOGIES,How the Spacecraft Cybersecurity Act can protect NASA from cyberattacks,"The proposed act boosts protection for NASA’s spacecraft from cyber threats, ensuring robust security against potential hacking attacks.",Jo Adetunji,"July 31, 2024"
FOURTH INDUSTRIAL REVOLUTION,From oil to algorithms: Azerbaijan's journey to digital excellence,"Recognizing the importance of fostering innovation, Azerbaijan is prioritizing the development of a robust digital ecosystem and infrastructure.",Fariz Jafarov,"July 31, 2024"
EDUCATION AND SKILLS,Build your personal board of advisors: An entrepreneur explains the importance of mentors,"Mentorship shaped OakNorth Bank’s Rishi Khosla's success. Learn his tips on finding mentors, fostering an entrepreneurial mindset and driving business growth.",Rebecca Geldard,"July 31, 2024"
EMERGING TECHNOLOGIES,How AI can unlock the digital economy for the disadvantaged,"While Asian countries' lag in education, digital literacy and disability access hinder their potential, AI tools can help level them up in economic growth.",Ahmed Mazhari,"July 31, 2024"
CLIMATE ACTION,Cooling Japan: How innovative materials are tackling heatwaves,"New technologies are being developed in Japan to mitigate the effects of heatwaves on people and crops, including heat-releasing clothes and heat-blocking parasols.",Naoko Tochibayashi and Mizuho Ota,"July 31, 2024"
FINANCIAL AND MONETARY SYSTEMS,'King dollar' dethroned? USD dominance in an age of geo-economic fragmentation,The USD remains the world's dominant currency despite geo-economic fragmentation. So what might thwart the position of 'king dollar' over the longer term?,Alexis Crow,"July 31, 2024"
CLIMATE ACTION,5 ways NDCs can become private climate finance catalysers,"Investible Nationally Determined Contributions, crucial for climate action, need clear targets, robust governance and innovative financing.",Laia Barbarà,"July 30, 2024"
SUSTAINABLE DEVELOPMENT,This is how companies can make the UN's SDGs their own,"Progress toward the UN's SDGs is too slow, by any measure. Convincing the private sector to come on board to pursue progress is key. Here's how to do that.",Pascual Berrone and Joan Enric Ricart Costa,"July 30, 2024"
CYBERSECURITY,SMEs can turn cybersecurity risk into opportunity. Here's how,"For SMEs, cybersecurity can be a costly and difficult endeavor — but it doesn't have to be that way. Here's how SMEs can turn cyber risk into opportunity.",Akhilesh Tuteja,"July 30, 2024"
CLIMATE ACTION,We can fend off climate fatalism by limiting near-term warming,Cutting climate super pollutants like methane can swiftly slow warming. The White House summit underscores urgent actions and funding needed to tackle them.,Gabrielle Dreyfus and Christie Ulman,"July 30, 2024"
TRADE AND INVESTMENT,How to build a resilient investment portfolio in uncertain times,"Navigating a profoundly uncertain investment landscape takes
price discipline, granular diversification and leveraging long-term, flexible capital.",Lim Chow-Kiat,"July 30, 2024"
CLIMATE ACTION,How rethinking the value of blue carbon could help to support local communities,Blue carbon projects should recognize and properly value the wider needs an ecosystem satisfies – from food and income to protection from extreme weather.,"Josheena Naggea, Mark Beeston and Frances Camille Rivera","July 30, 2024"
ENERGY TRANSITION,85% of countries want a fast transition to clean energy – but how do we make it an equitable one too?,"A majority of people support a swift transition away from fossil fuels, according to a new global survey. But developing countries are getting left behind.",Madeleine North,"July 30, 2024"
CLIMATE ACTION,Will Paris 2024 Olympics be the greenest ever? This and other nature and climate stories you need to read this week,Top nature and climate news: Hottest day world record broken; study shows tree bark can tackle methane in the atmosphere; Philippines to host ‘loss and damage’ fund board.,Tom Crowfoot,"July 29, 2024"
HEALTH AND HEALTHCARE SYSTEMS,A historic leap in cancer vaccines – here’s what you need to know,The world’s first cancer vaccine trial has started in the UK – a potentially revolutionary step towards improving the lives of millions of patients.,Michelle Meineke,"July 29, 2024"
EDUCATION AND SKILLS,"This AI tutor could make humans 10 times smarter, its creator says","As teacher gaps widen around the globe, AI tutors could help address the issue. One such tool, Squirrel Ai, is helping students in China with lessons tailored to their exact needs.",David Elliott,"July 29, 2024"
FINANCIAL AND MONETARY SYSTEMS,Why financial inclusion is the key to a thriving digital economy,"Investing in network infrastructure, affordable connectivity and innovative financial services can bridge the digital gap and promote financial inclusion.",Harrison Lung,"July 29, 2024"
"RESILIENCE, PEACE AND SECURITY","How to tap into your team's purpose, from a leader of 17 million volunteers","The head of the world's largest volunteer-based humanitarian network, the International Federation of Red Cross and Red Crescent Societies, shared a 3-step formula to help any leader tap into their team's purpose.",Emma Charlton,"July 26, 2024"
FINANCIAL AND MONETARY SYSTEMS,"China's central bank cuts rates, and other economics stories to read",Top economy stories: China's central bank cuts rates; US GDP growth hits 2.8% in Q2; Latest forecasts for Indian GDP; and more.,Joe Myers,"July 26, 2024"
EMERGING TECHNOLOGIES,AI start-up investment jumps and other digital tech stories to read this month,Top digital tech headlines: AI start-up investment jumps in Q2; Reinstatement of net neutrality rules delayed; AI and the Olympics.,Cathy Li,"July 26, 2024"
GEO-ECONOMICS AND POLITICS,5 charts that show the state of global democracy in 2024,Global elections in 2024 face challenges of misinformation and low youth turnout. Here are five charts that highlight election insights and trends.,Emma Charlton,"July 26, 2024"
ENERGY TRANSITION,How hybrid planes could make aviation more sustainable,An expert explains why hybrid planes should be one of the tools deployed to help the difficult-to-decarbonize aviation industry reach net-zero emissions.,Ewan Gribbin and Deepanshu Singh,"July 26, 2024"
"EQUITY, DIVERSITY AND INCLUSION",How leaders can commit to disability inclusion in business,Disability inclusion in business only results from genuine leadership commitment – and the data and reporting to back it up,Caroline Casey,"July 26, 2024"
HEALTH AND HEALTHCARE SYSTEMS,11 new breakthroughs in the fight against cancer,"Scientists working to improve the treatment and diagnosis of cancer are beginning to use AI, DNA sequencing and precision oncology among other techniques.","Victoria Masterson, Ian Shine and Madeleine North","July 25, 2024"
EMERGING TECHNOLOGIES,5 strategies to activate your agency and stay relevant in the age of AI,"As AI's boom continues, we may face a world in which human agency and decision-making capacity are eroded. Here's how to prepare for — and prevent — that.",Roger Spitz,"July 25, 2024"
FORUM INSTITUTIONAL,How frontier technology is unlocking the potential of young leaders,"From solving complex problems to fostering collaboration, frontier technology like augmented and extended reality are helping young leaders deliver impact.",Minwoong (Eric) Hwang,"July 25, 2024"
FINANCIAL AND MONETARY SYSTEMS,Wealth management conflicts of interest are failing investors. Here’s what’s needed,"The 'fee-based' model – as pioneered in mature financial markets – encourages wealth managers to uphold their fiduciary responsibility, instead of chasing lucrative commissions",Gregory Van,"July 25, 2024"
BUSINESS,Why a recent business exodus from Africa should be a wake-up call for multinationals,Recent multinational exits show the need for a different approach when doing business in Africa. Here's how companies can navigate Africa's varied markets.,Charles Sekwalor,"July 25, 2024"
MANUFACTURING AND VALUE CHAINS,Are your food packages safe? Unwrapping the risks of PFAS with testing,PFAS are used in various food packaging but still induce health concerns: regular testing can verify PFAS levels and assess risks as regulations evolve.,Lorna De Leoz,"July 25, 2024"
FINANCIAL AND MONETARY SYSTEMS,Can investors spur national oil companies toward methane action?,National oil companies (NOCs) are crucial in global methane reduction; diverse financial profiles and market exposure influence environmental initiatives.,Andrew Howell and Pavel Laberko,"July 25, 2024"
INDUSTRIES IN DEPTH,"From blocked views to free food: How holiday destinations in Japan, Denmark and more are tackling overtourism","From blocking views of Mt Fuji to enlisting tourists in litter picking on Copenhagen streets, here's how holiday hot spots are coping with overtourism's impacts.","Gabi Thesing, Ian Shine and David Elliott","July 25, 2024"
URBAN TRANSFORMATION,Olympics boost for Paris and other urban transformation stories you need to read,Top city and urbanization stories: Olympics boost for France; Singapore is 'world's safest city'; Heatwave hits cities in Western US.,Lisa Chamberlain,"July 25, 2024"
FOURTH INDUSTRIAL REVOLUTION,What is an AI agent and what will they do? Experts explain,AI agents or assistants could soon be everywhere. Experts explain what this might mean for our jobs and lives.,Kate Whiting,"July 24, 2024"
URBAN TRANSFORMATION,These 5 cities are making innovative use of generative AI,"From self-driving trucks in Dallas to Buenos Aires’s chatbot, generative AI is being trialled and implemented in cities worldwide. Here are five examples.",Madeleine North,"July 24, 2024"
CYBERSECURITY,Global IT outage: The cyber resilience alarm heard around the world,The global IT outage in July 2024 was a reminder of the criticality of investing in cyber resilience across organizations and of reframing cyber as business critical.,William H. Dutton and Luna Rohland,"July 24, 2024"
HEALTH AND HEALTHCARE SYSTEMS,These youth-led mental health solutions are making a difference worldwide,One in seven young people faces mental health problems and mental health costs the global economy £1 trillion annually — but youth-led solutions can help.,Elisha London,"July 24, 2024"
CIRCULAR ECONOMY,4 innovations helping the fashion industry embrace the circular economy,Sustainability and cost concerns are seeing global second-hand clothing sales soar. Here are 4 innovations helping the fashion industry’s circular economy.,Johnny Wood,"July 24, 2024"
CLIMATE ACTION,Why Asia's future hinges on a collective approach to sustainable finance,"Asia faces a climate crisis for which collective action, impact investing and innovative finance are essential for resilience and sustainable growth.",Luis Alvarado,"July 24, 2024"
CLIMATE ACTION,"Climate crisis is making days longer, and other nature and climate stories you need to read this week",Top nature and climate news: The climate crisis is making your days longer; Predictions for the 2024 hurricane season; Nations negotiate deep sea mining code.,Tom Crowfoot,"July 23, 2024"
CYBERSECURITY,Why closing the cyber skills gap requires a collaborative approach,We face a global skills shortage of nearly 4 million cybersecurity experts. This is how public and private entities can work to close the cyber skills gap.,Rob Rashotte,"July 23, 2024"
CLIMATE ACTION,What is the UN's Summit of the Future in 2024 and why is it important?,"At the halfway point to the 2030 deadline, only 17% of the UN Sustainable Development Goals are on track. Here’s how it plans to boost action.",Kate Whiting,"July 23, 2024"
CYBERSECURITY,"CrowdStrike content update causes global IT outage, and other cybersecurity news to know this month",Global IT outage; 10 billion passwords leaked in historic data breach; Insurers fear AI disruptions at Paris Olympics; US increases cybersecurity spend.,Akshay Joshi,"July 22, 2024"
ENERGY TRANSITION,AI and energy: Will AI help reduce emissions or increase demand? Here's what to know,"As the popularity of AI tools grows, so do emissions related to the technology. Here’s what can be done to balance the benefits of AI with its energy use.","Eleni Kemene, Bart Valkhof and Thapelo Tladi","July 22, 2024"
HEALTH AND HEALTHCARE SYSTEMS,How sovereign and private capital can help develop healthcare infrastructure,Sovereign and private investments can play pivotal roles in addressing the growing funding gap by building resilient and innovative healthcare systems.,Hamad Al Hammadi,"July 22, 2024"
FINANCIAL AND MONETARY SYSTEMS,The 'Great Wealth Transfer': What is it and how can women make the most of it?,The wealth gap between the genders means women face greater obstacles in terms of giving and receiving inheritance – but a financial adviser can help.,Lena Haas,"July 19, 2024"
FOURTH INDUSTRIAL REVOLUTION,"EU falling short of digital transformation goals, new report finds","The EU says member states are lagging on key goals for connectivity, digital skills, AI and more. But it’s not just Europe – digital transformation gaps persist around the world.",David Elliott,"July 19, 2024"
FINANCIAL AND MONETARY SYSTEMS,IMF sees steady economic growth and other economics stories to read,Top economy stories: Latest from the IMF on the global economy; ECB holds rates; Japan inflation increases.,Joe Myers,"July 19, 2024"
MANUFACTURING AND VALUE CHAINS,The water challenge for semiconductor manufacturing: What needs to be done?,"Semiconductor manufacturing requires huge amounts of water to form ultrapure water, impacting the local environment and needing innovation and scrutiny.",Kirsten James,"July 19, 2024"
WELLBEING AND MENTAL HEALTH,Shifting spaces: Could tackling climate change in cities help solve the youth mental health crisis?,"Youth across the world are experiencing rising levels of distress. Speaking at AMNC 2024, two experts tell how we can improve young people's mental health.",Natalie Marchant and Julie Masiga,"July 19, 2024"
GLOBAL COOPERATION,How sanctions and security-first policies hamper global cooperation,"The multipolar geopolitical landscape of sanctions and security-first policies hampers global cooperation, particularly on energy transition and AI governance.",Dimitri Zabelin,"July 19, 2024"
EMERGING TECHNOLOGIES,What is the 'perverse customer journey' and how can it tackle the misuse of generative AI?,Discover how the 'perverse customer journey' helps us to understand how bad actors can misuse generative AI and where we can most effectively intervene.,Henry Ajder,"July 19, 2024"
BUSINESS,How corporate intrapreneurs can use small wins to create big change,"Four ways that corporate 'intrapreneurs' can use small wins to create momentum for big change within an organization, even amid a highly disrupted world.",Nancy McGaw,"July 19, 2024"
EMERGING TECHNOLOGIES,Europe returns to space with successful rocket launch – plus other technology news you need to know,Top tech news: Europe returns to space with rocket launch; Electric-vehicle manufacturers open new plants; ITER nuclear fusion project faces launch delays.,Sebastian Buckup,"July 18, 2024"
JOBS AND THE FUTURE OF WORK,"More women are stepping into high-productivity service jobs, says the World Bank","From transport to finance, services jobs are an important source of empowerment and inclusive development for women, the World Bank says. But there are still gaps to address.",David Elliott,"July 18, 2024"
GEO-ECONOMICS AND POLITICS,'The Centre Must Hold' - can centrism compete with the emotional pull of populism?,"A new book, The Centre Must Hold, puts the case for centrist politics as the only way to counter populism. Its author, Yair Zivan, says centrism is vital for democracy.",Robin Pomeroy,"July 18, 2024"
"EQUITY, DIVERSITY AND INCLUSION",How do we ensure the green transition doesn't penalize the poorest?,"A Forum report identifies six equitable transition archetypes. From the UK to South Korea, this is how six countries are balancing decarbonizing with growth.",Tarini Fernando and Nadia Shamsad,"July 18, 2024"
CLIMATE ACTION,"World breaches critical 1.5°C warming threshold 12 months in a row, and other nature and climate stories you need to read this week",Top nature and climate news: Temperatures 1.5C above pre-industrial era average for a year; Renewables growth rate insufficient; Floods sweep across South Asia.,Tom Crowfoot,"July 17, 2024"
CLIMATE ACTION,The NCQG: What is it and why does it matter?,"The NCQG aims to bridge climate finance gaps, supporting developing countries' mitigation and adaptation efforts while enhancing global cooperation and private sector investment.",Laia Barbarà and Ameya Hadap,"July 17, 2024"
ECONOMIC GROWTH,Art festivals are revitalizing ageing communities in rural Japan. Here's how,"Regional art festivals like Echigo-Tsumari revitalize Japan's ageing rural areas by boosting local businesses, new residents and community pride.",Naoko Tochibayashi and Mizuho Ota,"July 17, 2024"
HEALTH AND HEALTHCARE SYSTEMS,"Scientists make pancreatic cancer discovery, and other top health stories to read",Top health news: Researchers make pancreatic cancer discovery; Child immunization levels have stalled; Half of US adult cancer deaths ‘could be prevented’.,Shyam Bishen,"July 17, 2024"
EMERGING TECHNOLOGIES,Why Africa could provide the next semiconductor ecosystem for the chip business,"The US-Kenya partnership can transform Africa into a semiconductor powerhouse, driving innovation, economic growth and global supply chain resilience. Here's how.",Nii Simmonds and Ayodele Okeowo,"July 17, 2024"
FINANCIAL AND MONETARY SYSTEMS,Everyone needs access to financial advice: But how can we get there?,The World Economic Forum’s The Future of Financial Advice report reveals trends reshaping the financial advice industry to help broaden access for all.,Meagan Andrews and Hallie Spear,"July 17, 2024"
FINANCIAL AND MONETARY SYSTEMS,Are 'finfluencers' the future of financial advice?,Social media has made learning about financial topics more engaging and accessible for novice investors – but this advice is not risk-free.,Aru Bhat and Sofia Eckrich,"July 17, 2024"
TRADE AND INVESTMENT,"'Decoupling': leaders warn about possible impacts, and other international trade stories to read this month",Top international trade stories: Leaders warn about impact of decoupling; EU votes on China EV tariffs; global port congestion at 18-month high.,Patrick McMaster,"July 17, 2024"
ENERGY TRANSITION,How Brazil and Chile are leading Latin America’s energy transition,Brazil and Chile emerged amongst the top 20 performers in the Forum's latest Fostering Effective Energy Transition Report.,Espen Mehlum,"July 17, 2024"
ENERGY TRANSITION,Why public-private collaboration is key to overcoming challenges of the 'energy trilemma',"Public-private partnerships can help overcome challenges in the green energy transition by guaranteeing energy availability, security and accessibility.",Arm Piyachart Isarabhakdee,"July 16, 2024"
EMERGING TECHNOLOGIES,The rise of smart contracts and strategies for mitigating cyber and legal risks,"The rapid adoption of this smart contracts comes with technological, legal and cyber-related risks that we urgently must address to ensure their success.",Jerome Desbonnet and Oded Vanunu,"July 16, 2024"
ECONOMIC GROWTH,How 'open innovation' can promote sustainable economic growth and development,"During times of geopolitical uncertainty, open innovation – alongside globalization – can serve as catalyst for economic growth and sustainable development.",Li Dongsheng,"July 16, 2024"
"RESILIENCE, PEACE AND SECURITY",Global trade can support humanitarian relief. Here's how,"With 300 million people in need of humanitarian aid in 2024, the global humanitarian system is under pressure. But existing global trade networks can help.",Macarena Torres Rossel and Mariam Soumaré,"July 15, 2024"
JOBS AND THE FUTURE OF WORK,How young workers can thrive with AI when they have the right skills,PwC’s 2024 Global Workforce Hopes and Fears survey reveals young workers are eager to embrace AI. Skills-first hiring can help them.,"Peter Brown, Kathy Parker and Harriet Newlyn","July 15, 2024"
NATURE AND BIODIVERSITY,How to unlock $10.1 trillion from the nature-positive transition,Achieving a nature-positive status by 2030 necessitates reversing the decline in biodiversity but we are yet to see signs of a significant shift.,"Zhu Chunquan, Qian Wu and Susan Hu","July 15, 2024"
CYBERSECURITY,Digital safety: Are you using one of the world’s most popular passwords?,"Simple passwords - such as 123456, the world's most popular password - make people vulnerable to cybercrime. Here’s how to improve your digital safety.",Ewan Thomson,"July 15, 2024"
HEALTH AND HEALTHCARE SYSTEMS,How One Health can help ease climate-driven health crises,"As extreme heat awareness rises, a One Health approach and robust adaptation strategies are essential for climate-resilient health systems.",Shyam Bishen,"July 15, 2024"
URBAN TRANSFORMATION,How cities can contribute to a more inclusive and equitable future for everyone,"To make multilateralism more inclusive, city leaders must have a greater role in global decision-making and problem solving through local governments.",Andras Szorenyi,"July 14, 2024"
FINANCIAL AND MONETARY SYSTEMS,US inflation cools – plus other economics stories to read this week,"Top economy stories: US inflation cools; Japan to cut growth forecast; Faster growth boosts new UK government, and more.",Rebecca Geldard,"July 12, 2024"
NATURE AND BIODIVERSITY,What are the Amazon's 'flying rivers’ – and how does deforestation affect them?,The Amazon rainforest provides rain and water security across much of Latin America. But its 'flying rivers' are under threat from forest loss and climate change.,Michelle Meineke,"July 12, 2024"
EMERGING TECHNOLOGIES,Digital public infrastructure is transforming lives in Pakistan. Here's how,"Digital public infrastructure (DPI) initiatives in Pakistan are enabling financial inclusion and empowering citizens, especially in underserved areas.",Tariq Malik and Prerna Saxena,"July 12, 2024"
EMERGING TECHNOLOGIES,What is the bioeconomy and how can it drive sustainable development?,"Using renewable biological resources to produce food, energy and industrial goods, the bioeconomy can help support the world's broader sustainability targets",Stefanie Ólives,"July 12, 2024"
FOOD AND WATER,"Safe drinking water is a right, not a luxury. Here's how to ensure no one goes thirsty","Billions of people lack access to clean water, but the solutions already exist to rectify the problem. Now we must create the local networks to implement them",Christian Troy and Riley Garrison,"July 12, 2024"
CLIMATE ACTION,What’s so funny about climate change?,Two experts who've been pondering this question in an academic setting for a decade spoke with the Forum’s Radio Davos podcast about what they’ve learned so far.,John Letzing,"July 11, 2024"
YOUTH PERSPECTIVES,Innovation Prize: Meet the next generation of changemakers,"The Global Shapers Innovation Prize chooses its 2024 winners, with collaboration from the private sector to help scale young people's inspiring solutions.",Natalie Pierce and Maria Sol Adaime Gabris,"July 11, 2024"
CLIMATE ACTION,How maximizing green finance flows to developing countries could tackle global warming,See why developed and developing countries must act in concert to deliver climate finance that staves off the worst impacts of global warming for everyone.,Arjun Dutt,"July 11, 2024"
CLIMATE ACTION,Sea level rise: Everything you need to know,"The climate crisis is causing sea levels to rise at unprecedented rates. Where are sea levels rising fastest, and what can coastal communities do to adapt?","Victoria Masterson, Stephen Hall and Madeleine North","July 11, 2024"
HEALTH AND HEALTHCARE SYSTEMS,Measles cases are rising – here’s what can be done,The World Health Organization has warned of an alarming rise in measles cases in its European region. Here’s what you need to know.,Shyam Bishen,"July 11, 2024"
